
> global-under16-reg-dashboard-backend@0.1.0 crawl
> tsx src/crawl-cli.ts

Starting crawl pipeline...

[START       ] Crawl run #2 started with 84 sources
[CRAWL       ] [70/84] Crawled: Google News — Social Media Kids Law
[CRAWL       ] [71/84] Crawled: Google News — COPPA Regulation
[CRAWL       ] [72/84] Crawled: Google News — Teen Online Safety
[CRAWL       ] [73/84] Crawled: Google News — Children Data Protection GDPR
[CRAWL       ] [74/84] Crawled: Google News — Meta Children Safety
[CRAWL       ] [75/84] Crawled: Google News — China Children Internet Regulation
[CRAWL       ] [76/84] Crawled: Google News — South Korea Youth Online
[CRAWL       ] [77/84] Crawled: Google News — Japan Children Online Safety
[CRAWL       ] [78/84] Crawled: Google News — Online Safety Children Age Verification
[CRAWL       ] [79/84] Crawled: Google News — Brazil Children Online Protection
[CRAWL       ] [80/84] Crawled: Google News — UAE Children Digital Safety
[CRAWL       ] [81/84] Crawled: X Search — Under 16 / COPPA
[CRAWL       ] [82/84] Crawled: X Search — Meta Child Safety
[CRAWL       ] [83/84] Crawled: X Search — DSA / OSA / KOSA
[CRAWL       ] [84/84] Crawled: X Search — TikTok/Snap/YouTube Compliance
[CRAWL_DONE  ] Crawled 426 items from 84 sources
[ANALYZE     ] Analyzing 426 items with MiniMax M2.5...
[ANALYZE     ] [1/426] Analyzed: Children s Online Privacy Protection Rule ("COPPA") | Federa
[ANALYZE     ] [2/426] Analyzed: Kids Privacy (COPPA) | Federal Trade Commission
[ANALYZE     ] [3/426] Analyzed: Children s Privacy | Federal Trade Commission
[ANALYZE     ] [4/426] Analyzed: Federal Register :: Children's Online Privacy Protection Rul
[ANALYZE     ] [5/426] Analyzed: FTC Finalizes Changes to Children’s Privacy Rule Limiting Co
[ANALYZE     ] [6/426] Analyzed: Kids Online Safety Act (S. 1748) - GovTrack.us
[ANALYZE     ] [7/426] Analyzed: Kids Online Safety Act - S.1409 and H.R.7891 | TechPolicy.Pr
[ANALYZE     ] [8/426] Analyzed: Bill Text - AB-2273 The California Age-Appropriate Design Co
[ANALYZE     ] [9/426] Analyzed: Protecting Children Online | New York State Attorney General
[ANALYZE     ] [10/426] Analyzed: Securing Children Online Through Parental Empowerment | Offi
[ANALYZE     ] [11/426] Analyzed: 2024 Bill Summaries - The Florida Senate
[ANALYZE     ] [12/426] Analyzed: Online Safety Law Center | Orrick
[ANALYZE     ] [13/426] Analyzed: State and Federal Developments in Minors’ Privacy in 2025 | 
[ANALYZE     ] [14/426] Analyzed: Children’s Online Privacy: Recent Actions by the States and 
[ANALYZE     ] [15/426] Analyzed: Arkansas Amends Social Media Safety Act Following Permanent 
[ANALYZE     ] [16/426] Analyzed: The Digital Services Act | Shaping Europe’s digital future
[ANALYZE     ] [17/426] Analyzed: Commission publishes guidelines on the protection of minors 
[ANALYZE     ] [18/426] Analyzed: Article 28, the Digital Services Act (DSA)
[ANALYZE     ] [19/426] Analyzed: Children | European Data Protection Board
[ANALYZE     ] [20/426] Analyzed: Data Protection Day 2026: keeping children’s personal data s
[ANALYZE     ] [21/426] Analyzed: Consent to use data on children | European Union Agency for 
[ANALYZE     ] [22/426] Analyzed: Digital rights of children | CNIL
[ANALYZE     ] [23/426] Analyzed: CNIL publishes 8 recommendations to enhance the protection o
[ANALYZE     ] [24/426] Analyzed: The Fundamentals for a Child-Oriented Approach to Data Proce
[ANALYZE     ] [25/426] Analyzed: BfDI - Homepage
[ANALYZE     ] [26/426] Analyzed: Home - Garante privacy en - Garante Privacy
[ANALYZE     ] [27/426] Analyzed: AEPD publishes analysis on the protection of children in the
[ANALYZE     ] [28/426] Analyzed: Home | Autoriteit Persoonsgegevens
[ANALYZE     ] [29/426] Analyzed: Online Safety Act: explainer - GOV.UK
[ANALYZE     ] [30/426] Analyzed: Statement: Protecting children from harms online
[ANALYZE     ] [31/426] Analyzed: Protection of children duties under the Online Safety Act
[ANALYZE     ] [32/426] Analyzed: Children's code guidance and resources | ICO
[ANALYZE     ] [33/426] Analyzed: Online Safety Act 2023
[ANALYZE     ] [34/426] Analyzed: Social media age restrictions | eSafety Commissioner
[ANALYZE     ] [35/426] Analyzed: Online Safety Act 2021 - Federal Register of Legislation
[ANALYZE     ] [36/426] Analyzed: C-63 (44-1) - LEGISinfo - Parliament of Canada
[ANALYZE     ] [37/426] Analyzed: Issue Sheets on Bill S-210 - Office of the Privacy Commissio
[ANALYZE     ] [38/426] Analyzed: Regulations on the Protection of Minors Online
[ANALYZE     ] [39/426] Analyzed: Overview of Protections for Minors Online (with Comparison T
[ANALYZE     ] [40/426] Analyzed: PDPC | Advisory Guidelines on the PDPA for Children's Person
[ANALYZE     ] [41/426] Analyzed: YOUTH PROTECTION ACT
[ANALYZE     ] [42/426] Analyzed: Children’s Data Protection Under India’s DPDP Rules
[ANALYZE     ] [43/426] Analyzed: DPDP Rules and the Future of Child Data Safety
[ANALYZE     ] [44/426] Analyzed: Navigating consent: emerging trends in children's data priva
[ANALYZE     ] [45/426] Analyzed: China’s “Minor Mode”: Blueprint or Cautionary Tale? | ITIF
[ANALYZE     ] [46/426] Analyzed: China Issued Draft Rules for Identifying Online Service Prov
[ANALYZE     ] [47/426] Analyzed: Brazil Adopts Law Protecting Minors Online | Inside Privacy
[ANALYZE     ] [48/426] Analyzed: Inside Brazil's child online safety bill | IAPP
[ANALYZE     ] [49/426] Analyzed: Brazil Passes Landmark Law to Protect Children Online | Huma
[ANALYZE     ] [50/426] Analyzed: Data protection laws in South Africa - Data Protection Laws 
[ANALYZE     ] [51/426] Analyzed: Secure Privacy — UAE Data Protection Guide
[ANALYZE     ] [52/426] Analyzed: Secure Privacy — Nigeria Data Protection Guide
[ANALYZE     ] [53/426] Analyzed: Africa’s Data Laws vs GDPR | Data Protection & Compliance
[ANALYZE     ] [54/426] Analyzed: Child and Youth Safety Online | United Nations
[ANALYZE     ] [55/426] Analyzed: Child Online Protection | ITU COP Guidelines
[ANALYZE     ] [56/426] Analyzed: 5rights - Building the digital world that young people deser
[ANALYZE     ] [57/426] Analyzed: Common Sense
[ANALYZE     ] [58/426] Analyzed: The Online Safety Act explained
[ANALYZE     ] [59/426] Analyzed: Global Threat Assessment 2023: Assessing the scale and scope
[ANALYZE     ] [60/426] Analyzed: Global Privacy Regulators Launch Enforcement Sweep Focused o
[ANALYZE     ] [61/426] Analyzed: FTC Publishes Final COPPA Rule Amendments
[ANALYZE     ] [62/426] Analyzed: What to Expect from US States on Child Online Safety in 2026
[ANALYZE     ] [63/426] Analyzed: House version of Kids Online Safety Act ruffles Blumenthal, 
[ANALYZE     ] [64/426] Analyzed: Congress’s Bipartisan Child Online Safety Coalition is Unrav
[ANALYZE     ] [65/426] Analyzed: What to Know About the Kids Online Safety Act and Where It C
[ANALYZE     ] [66/426] Analyzed: Online Safety Act: explainer - GOV.UK
[ANALYZE     ] [67/426] Analyzed: Congress moves forward on kids online safety - The Verge
[ANALYZE     ] [68/426] Analyzed: Markey outlines where US Senate stands with children's onlin
[ANALYZE     ] [69/426] Analyzed: US House Subcommittee Advances 18 Child Online Safety Bills 
[ANALYZE     ] [70/426] Analyzed: House subcommittee debates best way to protect children onli
[ANALYZE     ] [71/426] Analyzed: Arkansas Advances Children and Teen Privacy Laws - Inside Pr
[ANALYZE     ] [72/426] Analyzed: British Government Vows Changes to Toughen Children’s Online
[ANALYZE     ] [73/426] Analyzed: Starmer pledges crackdown on 'addictive elements' of social 
[ANALYZE     ] [74/426] Analyzed: Rethinking Online Safety for Children - The Regulatory Revie
[ANALYZE     ] [75/426] Analyzed: Legislation seeks to better protect kids online - WSJM
[ANALYZE     ] [76/426] Analyzed: Lawsuits Test New Legal Theories About What Causes Social Me
[ANALYZE     ] [77/426] Analyzed: Germany eyes social media ban for kids - politico.eu
[ANALYZE     ] [78/426] Analyzed: Virginia to enforce new law limiting kids’ social media time
[ANALYZE     ] [79/426] Analyzed: French lawmakers approve ban on social media for kids under 
[ANALYZE     ] [80/426] Analyzed: Virginia begins enforcing 1-hour social media cap for kids -
[ANALYZE     ] [81/426] Analyzed: FTC workshop details age verification tools, regulatory effo
[ANALYZE     ] [82/426] Analyzed: FTC push for age verification a ‘major landmark’ for spread 
[ANALYZE     ] [83/426] Analyzed: FTC Publishes Updates to COPPA Rule - Latham & Watkins LLP
[ANALYZE     ] [84/426] Analyzed: Children’s and Student Data Privacy Laws in the US - Reuters
[ANALYZE     ] [85/426] Analyzed: New COPPA Rule to take effect in June - K-12 Dive
[ANALYZE     ] [86/426] Analyzed: What to know about teen online safety as 1 in 5 teens experi
[ANALYZE     ] [87/426] Analyzed: Usher and his sons launch "Carversations" - Instagram's new 
[ANALYZE     ] [88/426] Analyzed: Online safety tips: Experts urge parents to address online s
[ANALYZE     ] [89/426] Analyzed: Snapchat Makes Surprising Move to Improve Teen Online Safety
[ANALYZE     ] [90/426] Analyzed: Protecting children online: What to expect in 2026 - Reed Sm
[ANALYZE     ] [91/426] Analyzed: Data protection by design and by default - Information Commi
[ANALYZE     ] [92/426] Analyzed: Dark Patterns, Children's Data and Corporate Fiduciary Risk 
[ANALYZE     ] [93/426] Analyzed: The UK DUA Act’s Reform Pillars: Divergence from the EU GDPR
[ANALYZE     ] [94/426] Analyzed: ICO fines Imgur for unlawful use of children's data - Lexolo
[ANALYZE     ] [95/426] Analyzed: Meta CEO Mark Zuckerberg to face jury in landmark social med
[ANALYZE     ] [96/426] Analyzed: Mark Zuckerberg said he reached out to Apple CEO Tim Cook to
[ANALYZE     ] [97/426] Analyzed: Google and Meta face multiple trials over social media addic
[ANALYZE     ] [98/426] Analyzed: Social media companies face legal reckoning over mental heal
[ANALYZE     ] [99/426] Analyzed: Under oath, Meta's Zuckerberg showed why Big Tech can't poli
[ANALYZE     ] [100/426] Analyzed: From Australia to Europe, countries move to curb children's 
[ANALYZE     ] [101/426] Analyzed: UK Online Safety Act: Protection of Children Codes come into
[ANALYZE     ] [102/426] Analyzed: Telecoms, Media & Internet Laws and Regulations Report 2026 
[ANALYZE     ] [103/426] Analyzed: Protection of children enhanced by laws, courts - China Dail
[ANALYZE     ] [104/426] Analyzed: Britain calls it safety. It is censorship - Al Jazeera
[ANALYZE     ] [105/426] Analyzed: AI becoming ‘child sexual abuse machine’ adding to ‘dangerou
[ANALYZE     ] [106/426] Analyzed: Australia has banned social media for kids under 16. How doe
[ANALYZE     ] [107/426] Analyzed: How will bans on social media affect children? - Brookings
[ANALYZE     ] [108/426] Analyzed: What Europe’s Digital Services Act Says About Age Assurance 
[ANALYZE     ] [109/426] Analyzed: Social media still pushing suicide-related content to teens 
[ANALYZE     ] [110/426] Analyzed: How do social media rules for under 16s differ around the wo
[ANALYZE     ] [111/426] Analyzed: Global Efforts to Make a Safer and Better Internet for Child
[ANALYZE     ] [112/426] Analyzed: Australia’s Social Media Ban: Is it Enough to Protect Childr
[ANALYZE     ] [113/426] Analyzed: Too young to scroll? Why governments are cracking down on so
[ANALYZE     ] [114/426] Analyzed: TikTok | Pros, Cons, Debate, Arguments, Social Media, Intern
[ANALYZE     ] [115/426] Analyzed: What are the new UK online safety rules and how will age che
[ANALYZE     ] [116/426] Analyzed: UK Online Safety Act 2023 - Reed Smith LLP
[ANALYZE     ] [117/426] Analyzed: The Online Safety Act Has Nothing to Do With Child Safety an
[ANALYZE     ] [118/426] Analyzed: Are new global age verification requirements creating a chil
[ANALYZE     ] [119/426] Analyzed: The Future (and Past) of Child Online Safety Legislation: Wh
[ANALYZE     ] [120/426] Analyzed: Global Privacy Watchlist - Mayer Brown
[ANALYZE     ] [121/426] Analyzed: Inside Brazil's child online safety bill - IAPP
[ANALYZE     ] [122/426] Analyzed: Brazil Passes Landmark Law to Protect Children Online - Huma
[ANALYZE     ] [123/426] Analyzed: Children want to shape their rights in the digital world - o
[ANALYZE     ] [124/426] Analyzed: UAE Introduces New Child Digital Safety Law - What Online Pl
[ANALYZE     ] [125/426] Analyzed: UAE Child Digital Safety Law – Tighter Regulation for Digita
[ANALYZE     ] [126/426] Analyzed: UAE issues landmark Child Digital Safety Law: Federal Decree
[ANALYZE     ] [127/426] Analyzed: UAE’s Child Digital Safety Law: What Every Digital Platform 
[ANALYZE     ] [128/426] Analyzed: UAE introduces new online restrictions with child safety leg
[ANALYZE     ] [129/426] Analyzed: @AlboMP SHOULD CHILDREN UNDER 16 BE ABLE TO READ THE QUR'AN 
[ANALYZE     ] [130/426] Analyzed: @DMBritain @Alexarmstrong @offgriddesigner @edthetechie @Ray
[ANALYZE     ] [131/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [132/426] Analyzed: RT @museumsireland: @griptmedia This is the establishment th
[ANALYZE     ] [133/426] Analyzed: RT @risktoriseDE: 🚨 Dex Screener Rockets 🚨 With an active 
[ANALYZE     ] [134/426] Analyzed: RT @SpecialeLuca: Se tutti avessero sempre avuto la voglia e
[ANALYZE     ] [135/426] Analyzed: @tuttosport È il sicario di Marotta per eccellenza Doveri, q
[ANALYZE     ] [136/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [137/426] Analyzed: @r3tarddownunder @AlboMP Oh come on, you don’t really think 
[ANALYZE     ] [138/426] Analyzed: Spalletti sei un grande allenatore quindi scappa dalla Juve 
[ANALYZE     ] [139/426] Analyzed: Il girone di andata della Pool Promozione si chiude con il b
[ANALYZE     ] [140/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [141/426] Analyzed: @4everpupi @Anto__rus Si ma l'obiettivo non è vincere la cop
[ANALYZE     ] [142/426] Analyzed: @Anto__rus Non sei la sola Anche per me la Champions è magia
[ANALYZE     ] [143/426] Analyzed: RT @museumsireland: @griptmedia This is the establishment th
[ANALYZE     ] [144/426] Analyzed: RT @risktoriseDE: 🚨 Dex Screener Rockets 🚨 With an active 
[ANALYZE     ] [145/426] Analyzed: RT @paddymacc1: I think this lunacy is on hold, but this is 
[ANALYZE     ] [146/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [147/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [148/426] Analyzed: UNDER 16s SOCIAL MEDIA "BAN": Would almost certainly require
[ANALYZE     ] [149/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [150/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [151/426] Analyzed: @biazzarro something something nate che la notte prima della
[ANALYZE     ] [152/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [153/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [154/426] Analyzed: 🚨 Dex Screener Rockets 🚨 With an active community, we were
[ANALYZE     ] [155/426] Analyzed: Please refer to it by its actual name. Forced sex is Rape. A
[ANALYZE     ] [156/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [157/426] Analyzed: RT @MickOKeeffe: The Irish government has quietly backed dow
[ANALYZE     ] [158/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [159/426] Analyzed: @lusignolodikiev Speriamo se ne vada presto in PL a finire 1
[ANALYZE     ] [160/426] Analyzed: A lot has been made in recent days about a potential social 
[ANALYZE     ] [161/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [162/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [163/426] Analyzed: @FFrogghina1983 Sono d'accordo. Pensavo che uno dei tifosi g
[ANALYZE     ] [164/426] Analyzed: RT @mattvanswol: 🚨#BREAKING: Birkdale Village, a popular sh
[ANALYZE     ] [165/426] Analyzed: 🔵🔴 TONIGHT! The Vale travel to UXBRIDGE FC to play @FCSout
[ANALYZE     ] [166/426] Analyzed: @paolo_il87 Domanda siamo sicuri che questo Artistico che è 
[ANALYZE     ] [167/426] Analyzed: @JPeppp Mi aspetto che al primo episodio stile Atalanta in c
[ANALYZE     ] [168/426] Analyzed: RT @HaverfordwestFC: It was great to see @HCAFCAcademy talen
[ANALYZE     ] [169/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [170/426] Analyzed: @sh_zuuu81265 @KantInEastt Under 16 was valid
[ANALYZE     ] [171/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [172/426] Analyzed: Wow! What a day of rugby we have in store! Our Under 13s get
[ANALYZE     ] [173/426] Analyzed: RT @Pirat_Nation: These are the countries moving to ban soci
[ANALYZE     ] [174/426] Analyzed: Inizia domenica il Campionato Italiano e la Coppa Italia di 
[ANALYZE     ] [175/426] Analyzed: Probabilmente sono l'unico interista che tiene più alla Cham
[ANALYZE     ] [176/426] Analyzed: @r3tarddownunder @AlboMP Why do you know people under 16?
[ANALYZE     ] [177/426] Analyzed: RT @DavQuinn: I think we need to be a bit concerned that the
[ANALYZE     ] [178/426] Analyzed: Calcio: Onnisport in finale di Coppa, punto Hesperia nel rec
[ANALYZE     ] [179/426] Analyzed: RT @Collin_G_Wood: Australian Under 16 Snapchat ❌️ Facebook 
[ANALYZE     ] [180/426] Analyzed: @UKgovcomms @UKHSA how are Kate and wills kids still with th
[ANALYZE     ] [181/426] Analyzed: Fanta 131 Il punto in classifica della nostra lega dopo il r
[ANALYZE     ] [182/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [183/426] Analyzed: RT @mattvanswol: 🚨#BREAKING: Birkdale Village, a popular sh
[ANALYZE     ] [184/426] Analyzed: RT @MickOKeeffe: The Irish government has quietly backed dow
[ANALYZE     ] [185/426] Analyzed: @ciccio95185923 @SSD19801 La società poteva rifiutare (NON r
[ANALYZE     ] [186/426] Analyzed: RT @LukePollard: Children deserve to be safe online. 🛡️📱 I
[ANALYZE     ] [187/426] Analyzed: RT @NicoSchira: Franco #Baresi a Il Giornale: “Il #Milan rim
[ANALYZE     ] [188/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [189/426] Analyzed: RT @nordicmodelnow: WHY IS THE UK GOVERNMENT RENEGING ON ITS
[ANALYZE     ] [190/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [191/426] Analyzed: @FusatoRiccardo La Juve ha giocato giovedì con l'Atalanta in
[ANALYZE     ] [192/426] Analyzed: @TeamYouTube yeah but I'm not under 16? I explained why!!!! 
[ANALYZE     ] [193/426] Analyzed: RT @NE_MetroStars: MetroStars are excited to announce that J
[ANALYZE     ] [194/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [195/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [196/426] Analyzed: RT @MickOKeeffe: The Irish government has quietly backed dow
[ANALYZE     ] [197/426] Analyzed: @Moroccan_Factz @clashreport Buying US-debts, military goods
[ANALYZE     ] [198/426] Analyzed: RT @AlboMP: Our social media ban is giving under-16s a safer
[ANALYZE     ] [199/426] Analyzed: @JnglJourney @BowesChay That’s exactly what he said. That’s 
[ANALYZE     ] [200/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [201/426] Analyzed: Il programma delle semifinali di Coppa Italia https://t.co/E
[ANALYZE     ] [202/426] Analyzed: RT @ShirebrookTwnFC: 𝐔𝐩 𝐍𝐞𝐱𝐭 | 𝐆𝐞𝐝𝐥𝐢𝐧𝐠 𝐌𝐢𝐧𝐞
[ANALYZE     ] [203/426] Analyzed: RT @nordicmodelnow: WHY IS THE UK GOVERNMENT RENEGING ON ITS
[ANALYZE     ] [204/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [205/426] Analyzed: @reddyred7712 @wshfhdufursudh @Roblox COPPA does not require
[ANALYZE     ] [206/426] Analyzed: VOLLEY | Rana Verona festeggia la Coppa Italia in Consiglio 
[ANALYZE     ] [207/426] Analyzed: VOLLEY | Rana Verona festeggia la Coppa Italia in Consiglio 
[ANALYZE     ] [208/426] Analyzed: RT @wideawake_media: All these people arguing in favour of u
[ANALYZE     ] [209/426] Analyzed: @putino Perché Trump può fare saltare la coppa del mondo e l
[ANALYZE     ] [210/426] Analyzed: RT @NicoSchira: Franco #Baresi a Il Giornale: “Il #Milan rim
[ANALYZE     ] [211/426] Analyzed: RT @NicoSchira: Franco #Baresi a Il Giornale: “Il #Milan rim
[ANALYZE     ] [212/426] Analyzed: @nordicmodelnow Wrong. The age of consent is 16. There is a 
[ANALYZE     ] [213/426] Analyzed: RT @Togetherdec: Under 16s "social media &amp; VPN ban” = Di
[ANALYZE     ] [214/426] Analyzed: @acmilan Abbiamo lasciato una coppa Italia col suo esonero, 
[ANALYZE     ] [215/426] Analyzed: @LapoNero Tra l'altro nel gemellaggio Inter Como è previsto 
[ANALYZE     ] [216/426] Analyzed: Sci alpino: ‘Le Ali del Pegaso’, il Consiglio regionale prem
[ANALYZE     ] [217/426] Analyzed: RT @YorkCityFC: Everyone at York City Football Club is shock
[ANALYZE     ] [218/426] Analyzed: RT @Togetherdec: UNDER 16s SOCIAL MEDIA "BAN": Would almost 
[ANALYZE     ] [219/426] Analyzed: @Info_SerieA kalo gue beda id, pas final Coppa 2010 pas blio
[ANALYZE     ] [220/426] Analyzed: RT @NicoSchira: Franco #Baresi a Il Giornale: “Il #Milan rim
[ANALYZE     ] [221/426] Analyzed: India is reportedly considering a ban on social media access
[ANALYZE     ] [222/426] Analyzed: @FinnishZoomer Anyone that isn't brown or under 16 shouldn't
[ANALYZE     ] [223/426] Analyzed: RT @IndianInfoGuid: 🚨India govt is considering restricting 
[ANALYZE     ] [224/426] Analyzed: RT @IndianInfoGuid: 🚨India govt is considering restricting 
[ANALYZE     ] [225/426] Analyzed: For those mothers, father's who think that " social" media m
[ANALYZE     ] [226/426] Analyzed: A 13-year-old mentioned during a casual Instagram conversati
[ANALYZE     ] [227/426] Analyzed: @AlfNeumann @Cutmans_Curse @mathebulati I looked into this. 
[ANALYZE     ] [228/426] Analyzed: Hey @instagram @Meta @MetaNewsroom , my account @nanda_kor1 
